Bowl,Pick,Spread
Bahamas Bowl,Middle Tennessee State,7
Cure Bowl,Coastal Carolina (Favorite),6
Boca Raton Bowl,Western Kentucky,21
Celebration Bowl,South Carolina State,21
New Mexico Bowl,Fresno State (Favorite),7
Independence Bowl,UAB ,3
Lending Tree Bowl,Liberty (Favorite),36
LA Bowl,Utah State,11
New Orleans Bowl,Louisiana (Favorite),15
Myrtle Beach Bowl,Tulsa (Favorite),13
Famous Idaho Bowl,Wyoming (Favorite),14
Tropical Smoothie Bowl,San Diego State,14
Armed Forces Bowl,Army (Favorite),2
Frisco Classic Bowl,Miami (Ohio) (Favorite),13
Gasparilla Bowl,Central Florida,12
Hawaii Bowl,none,0
Camellia Bowl,Georgia State (Favorite),31
Quick Lane Bowl,Western Michigan,28
Military Bowl,none,0
Birmingham Bowl,none,0
First Responder Bowl,none,0
Liberty Bowl,none,0
Guaranteed Rate Bowl,none,0
Fenway Bowl,none,0
Pinstripe Bowl,none,0
CheezIt Bowl,none,0
Alamo Bowl,none,0
Dukes Mayo Bowl,none,0
Music City Bowl,none,0
Peach Bowl,none,0
Las Vegas Bowl,none,0
Gator Bowl,none,0
Sun Bowl,none,0
Arizona Bowl,none,0
Outback Bowl,none,0
Citrus Bowl,none,0
Fiesta Bowl,none,0
Rose Bowl,none,0
Sugar Bowl,none,0
Texas Bowl,none,0
Cotton Bowl,none,0
Orange Bowl,none,0
Natl Championship,none,0
